The Salamanca,reel,4/4,1/8,Dmaj,|:dB|ADFD ADFD|Adcd fdcd|BEGE BEGE|Bded cdeg|fBAB fBAB|fafc deag|fdec dBAG|FGEF D2:||:fg|afdg bgeg|fdec dcBc|ABcd defg|a2^gb a2f=g|afff geee|fdec dfag|fdec dBAG|FGEF D2:|
The Fermoy Lasses,reel,4/4,1/8,Emin,GE (3EEE BE (3EEE|GE (3EEE BcBA|GE (3EEE BE (3EEE|AFDF AcBA|GE (3EEE BE (3EEE|GE (3EEE BcBA|(3GGG GF GBdB|AFDF AcBA||(3GGG BG dGBG|(3GGG Bd efg2|(3GGG BG dGBG|AFDF AcBA|(3GGG BG dGBG|(3GGG Bd efg2|afge fded|AFDF AcBA||
The Kerfunten,jig,6/8,1/8,Dmaj,|:F3 FED|FGA Bcd|A2 B BAF|~E3 EDE||~F3 FED|FGA Bcd|A2 B BAF|1 EFE D2 E:|2 EFE DFA|||:d3 def|B3 BAB|d3 def|fed efe||d3 def|B3 BAB|A2 d dAF|1 EFE DFA:|2 EFE D2 E||
Music For A Found Harmonium,reel,4/4,1/8,Dmaj,DE|:FDGD FDDD|FDGD FDDD|FDGD FDDD|EDCD FDDD:||:EDCD EDCD|FDCD FDCD|GDED CDGD|1 FDDD D2 DD:|2 FDDD D2 D=F||
Tobin's Favourite,jig,6/8,1/8,Dmaj,AF|DFA dcd|ecA cde|fdf gfg|ecA GFE|DFA dcd|ecA cde|(4fgaf gec|edc d:||d2|dfa agf|(4efge efg|fdf gfg|ecA GFE|DFA dcd|ecA cde|(4fgaf gec|edc d:||
The High,reel,4/4,1/8,Amix,|:a2 fa ec A2|cAeA fAeA|a2 fa ec A2|Bcdc BG G2|a2 fa ec A2|cdef g2 fg|afge fdec|Bcdc BG G2:||:cAeA fAeA|cAaf ec A2|cAeA fAeA|Bcdc BG G2|cAeA fAeA|cdef g2 fg|afge fdec|Bcdc BG G2:|
The Tar Road To Sligo,jig,6/8,1/8,Dmaj,|:e|fdB Bcd|ecA BAG|FGA ABc|dcd efg|fdB Bcd|ecA BAG|FGA Aag|fdc d2:||:B|Adf Adf|gfg efg|afd dcd|Bed cBA|[1 Adf Adf|gfg efg|afd bge|edc d2:|[2 fdB gec|~a3 bge|~a3 bge|edc d2||
Father Kelly's,reel,4/4,1/8,Dmaj,|:de | f2 df edBd | Addc defa | g2 ef gfed | Beed efge |f2 df edBd | Addc defg | a2 fa a2 fa | gece d2 :||:fg | a2 fa dafa | a2 fa dafa | fBBB edcB | ABcd edcB |a2 fa dafa | a2fa dafa | g2 eg f2 df | edce d2 :||
Denis Murphy's,polka,2/4,1/8,Dmaj,f/g/f/e/ d>B|AD FA|GE e>d|cB (3BcB A|f/g/f/e/ d>B|AD FA|GE e>f|1 ed d2:|2 ed dB|||:Af f/e/f|Ag g/f/g|Af f/e/g|e/f/e/d/ BA|Af f/e/f|Ag ga|ba gc|1 dd B2:|2 ed d2||
The Road To Errogie,reel,4/4,1/8,Gmaj,DGG2 AGAB|dGG2 ABdB|e3g dBG2|A3B AGEG|DGG2 AGAB|dGG2 ABdB|e3g dBG2|AG F/E/D G2 BG:|dgg2 g2ag|ab2a g3d|e2dg2de2-|edgd edBc|dgg2 g2ag|ab2a g3d|e3g dBGE|AG F/E/D G4|dgg2 g2ag|ab2a g3d|e2dg2de2-|edgd edBG|DGG2 AGAB|dGG2 ABdB|e3g dBG2|AG F/E/D G2 BG||
Whiskey Before Breakfast,reel,4/4,1/8,Dmaj,"| A,DFG A2 A2 | ABAG FEDF | G2 BG F2 AF | EDEF EDCB, |A,DFG A2 A2 | ABAG FEDF | G2 BG F2 AF | EDEF D4 :||: A d2 A d2 d2 | cded cB A2 | B e2 B e2 ef | gfed cABc |d2 fd c2 ec | BABc BAFA | G2 BG F2 AF | EDEF D4 :|"
Planxty Irwin,waltz,3/4,1/8,Gmaj,|:d|g2 f efg|d2 c BAG|c2 A Bcd|F2 G A2 d|g2 f efg|d2 c BAG|c2 A Bcd|G2 F G2:||:d|g2 g gfg|a2 a afd|b2 b a2 g|f2 e def|g2 f efg|d2 c BAG|c2 A Bcd|G2 F G2:|
